name	target_chr	target_start	target_end	target_name	target_type
240905_HPC_screen_guide_73	chr1	8021463	8021963	PARK7_TSS	tss_control
240905_HPC_screen_guide_74	chr1	8021463	8021963	PARK7_TSS	tss_control
240905_HPC_screen_guide_75	chr1	8021463	8021963	PARK7_TSS	tss_control
240905_HPC_screen_guide_76	chr1	8035349	8035650	chr1:8035349-8035650	enh
240905_HPC_screen_guide_77	chr1	8035349	8035650	chr1:8035349-8035650	enh
240905_HPC_screen_guide_78	chr1	8035349	8035650	chr1:8035349-8035650	enh
240905_HPC_screen_guide_79	chr1	8035349	8035650	chr1:8035349-8035650	enh
240905_HPC_screen_guide_80	chr1	8035349	8035650	chr1:8035349-8035650	enh
240905_HPC_screen_guide_81	chr1	8035356	8035657	chr1:8035356-8035657	enh
240905_HPC_screen_guide_82	chr1	8035356	8035657	chr1:8035356-8035657	enh
240905_HPC_screen_guide_83	chr1	8035356	8035657	chr1:8035356-8035657	enh
240905_HPC_screen_guide_84	chr1	8035356	8035657	chr1:8035356-8035657	enh
240905_HPC_screen_guide_85	chr1	8035356	8035657	chr1:8035356-8035657	enh
240905_HPC_screen_guide_86	chr1	8035356	8035657	chr1:8035356-8035657	enh
240905_HPC_screen_guide_87	chr1	8035356	8035657	chr1:8035356-8035657	enh
240905_HPC_screen_guide_88	chr1	8035356	8035657	chr1:8035356-8035657	enh
240905_HPC_screen_guide_89	chr1	8035356	8035657	chr1:8035356-8035657	enh
240905_HPC_screen_guide_90	chr1	8035352	8035653	chr1:8035352-8035653	enh
240905_HPC_screen_guide_91	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_92	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_93	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_94	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_95	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_96	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_97	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_98	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_99	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_100	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_101	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_102	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_103	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_104	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_105	chr1	8042369	8042670	chr1:8042369-8042670	enh
240905_HPC_screen_guide_106	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_107	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_108	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_109	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_110	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_111	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_112	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_113	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_114	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_115	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_116	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_117	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_118	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_119	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_120	chr1	8046017	8046318	chr1:8046017-8046318	enh
240905_HPC_screen_guide_121	chr1	8051858	8052159	chr1:8051858-8052159	enh
240905_HPC_screen_guide_122	chr1	8051858	8052159	chr1:8051858-8052159	enh
240905_HPC_screen_guide_123	chr1	8051858	8052159	chr1:8051858-8052159	enh
240905_HPC_screen_guide_124	chr1	8051856	8052157	chr1:8051856-8052157	enh
240905_HPC_screen_guide_125	chr1	8051858	8052159	chr1:8051858-8052159	enh
240905_HPC_screen_guide_126	chr1	8051856	8052157	chr1:8051856-8052157	enh
240905_HPC_screen_guide_127	chr1	8051858	8052159	chr1:8051858-8052159	enh
240905_HPC_screen_guide_128	chr1	8051856	8052157	chr1:8051856-8052157	enh
240905_HPC_screen_guide_129	chr1	8051856	8052157	chr1:8051856-8052157	enh
240905_HPC_screen_guide_130	chr1	8051856	8052157	chr1:8051856-8052157	enh
240905_HPC_screen_guide_131	chr1	8051856	8052157	chr1:8051856-8052157	enh
240905_HPC_screen_guide_132	chr1	8051858	8052159	chr1:8051858-8052159	enh
240905_HPC_screen_guide_133	chr1	8051856	8052157	chr1:8051856-8052157	enh
240905_HPC_screen_guide_134	chr1	8051856	8052157	chr1:8051856-8052157	enh
240905_HPC_screen_guide_135	chr1	8051856	8052157	chr1:8051856-8052157	enh
240905_HPC_screen_guide_136	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_137	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_138	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_139	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_140	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_141	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_142	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_143	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_144	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_145	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_146	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_147	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_148	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_149	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_150	chr1	8064721	8065022	chr1:8064721-8065022	enh
240905_HPC_screen_guide_151	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_152	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_153	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_154	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_155	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_156	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_157	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_158	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_159	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_160	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_161	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_162	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_163	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_164	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_165	chr1	8065257	8065558	chr1:8065257-8065558	enh
240905_HPC_screen_guide_166	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_167	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_168	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_169	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_170	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_171	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_172	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_173	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_174	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_175	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_176	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_177	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_178	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_179	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_180	chr1	8078851	8079152	chr1:8078851-8079152	enh
240905_HPC_screen_guide_181	chr1	8082919	8083220	chr1:8082919-8083220	enh
240905_HPC_screen_guide_182	chr1	8082919	8083220	chr1:8082919-8083220	enh
240905_HPC_screen_guide_183	chr1	8082919	8083220	chr1:8082919-8083220	enh
240905_HPC_screen_guide_184	chr1	8082919	8083220	chr1:8082919-8083220	enh
240905_HPC_screen_guide_185	chr1	8082919	8083220	chr1:8082919-8083220	enh
240905_HPC_screen_guide_186	chr1	8082919	8083220	chr1:8082919-8083220	enh
240905_HPC_screen_guide_187	chr1	8082919	8083220	chr1:8082919-8083220	enh
240905_HPC_screen_guide_188	chr1	8082919	8083220	chr1:8082919-8083220	enh
240905_HPC_screen_guide_189	chr1	8082919	8083220	chr1:8082919-8083220	enh
240905_HPC_screen_guide_190	chr1	8082919	8083220	chr1:8082919-8083220	enh
240905_HPC_screen_guide_191	chr1	8082919	8083220	chr1:8082919-8083220	enh
240905_HPC_screen_guide_192	chr1	8082919	8083220	chr1:8082919-8083220	enh
240905_HPC_screen_guide_193	chr1	8082919	8083220	chr1:8082919-8083220	enh
240905_HPC_screen_guide_194	chr1	8082919	8083220	chr1:8082919-8083220	enh
240905_HPC_screen_guide_195	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_196	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_197	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_198	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_199	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_200	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_201	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_202	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_203	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_204	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_205	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_206	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_207	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_208	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_209	chr1	8086143	8086643	ERRFI1_TSS	tss_control
240905_HPC_screen_guide_210	chr1	8121338	8121639	chr1:8121338-8121639	enh
240905_HPC_screen_guide_211	chr1	8121338	8121639	chr1:8121338-8121639	enh
240905_HPC_screen_guide_212	chr1	8121338	8121639	chr1:8121338-8121639	enh
240905_HPC_screen_guide_213	chr1	8121338	8121639	chr1:8121338-8121639	enh
240905_HPC_screen_guide_214	chr1	8121338	8121639	chr1:8121338-8121639	enh
240905_HPC_screen_guide_215	chr1	8121338	8121639	chr1:8121338-8121639	enh
240905_HPC_screen_guide_216	chr1	8121338	8121639	chr1:8121338-8121639	enh
240905_HPC_screen_guide_217	chr1	8121338	8121639	chr1:8121338-8121639	enh
240905_HPC_screen_guide_218	chr1	8121338	8121639	chr1:8121338-8121639	enh
240905_HPC_screen_guide_219	chr1	8121338	8121639	chr1:8121338-8121639	enh
240905_HPC_screen_guide_220	chr1	8121338	8121639	chr1:8121338-8121639	enh
240905_HPC_screen_guide_221	chr1	8121342	8121643	chr1:8121342-8121643	enh
240905_HPC_screen_guide_222	chr1	8121338	8121639	chr1:8121338-8121639	enh
240905_HPC_screen_guide_223	chr1	8121338	8121639	chr1:8121338-8121639	enh
240905_HPC_screen_guide_224	chr1	8121342	8121643	chr1:8121342-8121643	enh
240905_HPC_screen_guide_225	chr1	8130379	8130680	chr1:8130379-8130680	enh
240905_HPC_screen_guide_226	chr1	8130379	8130680	chr1:8130379-8130680	enh
240905_HPC_screen_guide_227	chr1	8130379	8130680	chr1:8130379-8130680	enh
240905_HPC_screen_guide_228	chr1	8130379	8130680	chr1:8130379-8130680	enh
240905_HPC_screen_guide_229	chr1	8130379	8130680	chr1:8130379-8130680	enh
240905_HPC_screen_guide_230	chr1	8130379	8130680	chr1:8130379-8130680	enh
240905_HPC_screen_guide_231	chr1	8130379	8130680	chr1:8130379-8130680	enh
240905_HPC_screen_guide_232	chr1	8130379	8130680	chr1:8130379-8130680	enh
240905_HPC_screen_guide_233	chr1	8130379	8130680	chr1:8130379-8130680	enh
240905_HPC_screen_guide_234	chr1	8130379	8130680	chr1:8130379-8130680	enh
240905_HPC_screen_guide_235	chr1	8130379	8130680	chr1:8130379-8130680	enh
240905_HPC_screen_guide_236	chr1	8130379	8130680	chr1:8130379-8130680	enh
240905_HPC_screen_guide_237	chr1	8130379	8130680	chr1:8130379-8130680	enh
240905_HPC_screen_guide_238	chr1	8130379	8130680	chr1:8130379-8130680	enh
240905_HPC_screen_guide_239	chr1	8136262	8136563	chr1:8136262-8136563	enh
240905_HPC_screen_guide_240	chr1	8136262	8136563	chr1:8136262-8136563	enh
240905_HPC_screen_guide_241	chr1	8136262	8136563	chr1:8136262-8136563	enh
240905_HPC_screen_guide_242	chr1	8136262	8136563	chr1:8136262-8136563	enh
240905_HPC_screen_guide_243	chr1	8136262	8136563	chr1:8136262-8136563	enh
240905_HPC_screen_guide_244	chr1	8136262	8136563	chr1:8136262-8136563	enh
240905_HPC_screen_guide_245	chr1	8136262	8136563	chr1:8136262-8136563	enh
240905_HPC_screen_guide_246	chr1	8136262	8136563	chr1:8136262-8136563	enh
240905_HPC_screen_guide_247	chr1	8136262	8136563	chr1:8136262-8136563	enh
240905_HPC_screen_guide_248	chr1	8136262	8136563	chr1:8136262-8136563	enh
240905_HPC_screen_guide_249	chr1	8136262	8136563	chr1:8136262-8136563	enh
240905_HPC_screen_guide_250	chr1	8136262	8136563	chr1:8136262-8136563	enh
240905_HPC_screen_guide_251	chr1	8136262	8136563	chr1:8136262-8136563	enh
240905_HPC_screen_guide_252	chr1	8136262	8136563	chr1:8136262-8136563	enh
240905_HPC_screen_guide_253	chr1	8137300	8137601	chr1:8137300-8137601	enh
240905_HPC_screen_guide_254	chr1	8137300	8137601	chr1:8137300-8137601	enh
240905_HPC_screen_guide_255	chr1	8137300	8137601	chr1:8137300-8137601	enh
240905_HPC_screen_guide_256	chr1	8137300	8137601	chr1:8137300-8137601	enh
240905_HPC_screen_guide_257	chr1	8137300	8137601	chr1:8137300-8137601	enh
240905_HPC_screen_guide_258	chr1	8137300	8137601	chr1:8137300-8137601	enh
240905_HPC_screen_guide_259	chr1	8137300	8137601	chr1:8137300-8137601	enh
240905_HPC_screen_guide_260	chr1	8137300	8137601	chr1:8137300-8137601	enh
240905_HPC_screen_guide_261	chr1	8137300	8137601	chr1:8137300-8137601	enh
240905_HPC_screen_guide_262	chr1	8137300	8137601	chr1:8137300-8137601	enh
240905_HPC_screen_guide_263	chr1	8137300	8137601	chr1:8137300-8137601	enh
240905_HPC_screen_guide_264	chr1	8137300	8137601	chr1:8137300-8137601	enh
240905_HPC_screen_guide_265	chr1	8137300	8137601	chr1:8137300-8137601	enh
240905_HPC_screen_guide_266	chr1	8137300	8137601	chr1:8137300-8137601	enh
240905_HPC_screen_guide_267	chr1	8137312	8137613	chr1:8137312-8137613	enh
240905_HPC_screen_guide_268	chr1	8138480	8138781	chr1:8138480-8138781	enh
240905_HPC_screen_guide_269	chr1	8138480	8138781	chr1:8138480-8138781	enh
240905_HPC_screen_guide_270	chr1	8138480	8138781	chr1:8138480-8138781	enh
240905_HPC_screen_guide_271	chr1	8138480	8138781	chr1:8138480-8138781	enh
240905_HPC_screen_guide_272	chr1	8138480	8138781	chr1:8138480-8138781	enh
240905_HPC_screen_guide_273	chr1	8138480	8138781	chr1:8138480-8138781	enh
240905_HPC_screen_guide_274	chr1	8138480	8138781	chr1:8138480-8138781	enh
240905_HPC_screen_guide_275	chr1	8138480	8138781	chr1:8138480-8138781	enh
240905_HPC_screen_guide_276	chr1	8138541	8138842	chr1:8138541-8138842	enh
240905_HPC_screen_guide_277	chr1	8138480	8138781	chr1:8138480-8138781	enh
240905_HPC_screen_guide_278	chr1	8138480	8138781	chr1:8138480-8138781	enh
240905_HPC_screen_guide_279	chr1	8138541	8138842	chr1:8138541-8138842	enh
240905_HPC_screen_guide_280	chr1	8138541	8138842	chr1:8138541-8138842	enh
240905_HPC_screen_guide_281	chr1	8138541	8138842	chr1:8138541-8138842	enh
240905_HPC_screen_guide_282	chr1	8138541	8138842	chr1:8138541-8138842	enh
240905_HPC_screen_guide_283	chr1	8138541	8138842	chr1:8138541-8138842	enh
240905_HPC_screen_guide_284	chr1	8144184	8144485	chr1:8144184-8144485	enh
240905_HPC_screen_guide_285	chr1	8144243	8144544	chr1:8144243-8144544	enh
240905_HPC_screen_guide_286	chr1	8144184	8144485	chr1:8144184-8144485	enh
240905_HPC_screen_guide_287	chr1	8144243	8144544	chr1:8144243-8144544	enh
240905_HPC_screen_guide_288	chr1	8144243	8144544	chr1:8144243-8144544	enh
240905_HPC_screen_guide_289	chr1	8144243	8144544	chr1:8144243-8144544	enh
240905_HPC_screen_guide_290	chr1	8144243	8144544	chr1:8144243-8144544	enh
240905_HPC_screen_guide_291	chr1	8144243	8144544	chr1:8144243-8144544	enh
240905_HPC_screen_guide_292	chr1	8144243	8144544	chr1:8144243-8144544	enh
240905_HPC_screen_guide_293	chr1	8144184	8144485	chr1:8144184-8144485	enh
240905_HPC_screen_guide_294	chr1	8144243	8144544	chr1:8144243-8144544	enh
240905_HPC_screen_guide_295	chr1	8144184	8144485	chr1:8144184-8144485	enh
240905_HPC_screen_guide_296	chr1	8144184	8144485	chr1:8144184-8144485	enh
240905_HPC_screen_guide_297	chr1	8144184	8144485	chr1:8144184-8144485	enh
240905_HPC_screen_guide_298	chr1	8144184	8144485	chr1:8144184-8144485	enh
240905_HPC_screen_guide_299	chr1	8144243	8144544	chr1:8144243-8144544	enh
240905_HPC_screen_guide_300	chr1	8177642	8177943	chr1:8177642-8177943	enh
240905_HPC_screen_guide_301	chr1	8177642	8177943	chr1:8177642-8177943	enh
240905_HPC_screen_guide_302	chr1	8177642	8177943	chr1:8177642-8177943	enh
240905_HPC_screen_guide_303	chr1	8177642	8177943	chr1:8177642-8177943	enh
240905_HPC_screen_guide_304	chr1	8177642	8177943	chr1:8177642-8177943	enh
240905_HPC_screen_guide_305	chr1	8177642	8177943	chr1:8177642-8177943	enh
240905_HPC_screen_guide_306	chr1	8177642	8177943	chr1:8177642-8177943	enh
240905_HPC_screen_guide_307	chr1	8177642	8177943	chr1:8177642-8177943	enh
240905_HPC_screen_guide_308	chr1	8177642	8177943	chr1:8177642-8177943	enh
240905_HPC_screen_guide_309	chr1	8177642	8177943	chr1:8177642-8177943	enh
240905_HPC_screen_guide_310	chr1	8177642	8177943	chr1:8177642-8177943	enh
240905_HPC_screen_guide_311	chr1	8177642	8177943	chr1:8177642-8177943	enh
240905_HPC_screen_guide_312	chr1	8215671	8215972	chr1:8215671-8215972	enh
240905_HPC_screen_guide_313	chr1	8215667	8215968	chr1:8215667-8215968	enh
240905_HPC_screen_guide_314	chr1	8215671	8215972	chr1:8215671-8215972	enh
240905_HPC_screen_guide_315	chr1	8215671	8215972	chr1:8215671-8215972	enh
240905_HPC_screen_guide_316	chr1	8215671	8215972	chr1:8215671-8215972	enh
240905_HPC_screen_guide_317	chr1	8215671	8215972	chr1:8215671-8215972	enh
240905_HPC_screen_guide_318	chr1	8215671	8215972	chr1:8215671-8215972	enh
240905_HPC_screen_guide_319	chr1	8215671	8215972	chr1:8215671-8215972	enh
240905_HPC_screen_guide_320	chr1	8215671	8215972	chr1:8215671-8215972	enh
240905_HPC_screen_guide_321	chr1	8215671	8215972	chr1:8215671-8215972	enh
240905_HPC_screen_guide_322	chr1	8215667	8215968	chr1:8215667-8215968	enh
240905_HPC_screen_guide_323	chr1	8215667	8215968	chr1:8215667-8215968	enh
240905_HPC_screen_guide_324	chr1	8215667	8215968	chr1:8215667-8215968	enh
240905_HPC_screen_guide_325	chr1	8215667	8215968	chr1:8215667-8215968	enh
240905_HPC_screen_guide_326	chr1	8215667	8215968	chr1:8215667-8215968	enh
240905_HPC_screen_guide_327	chr1	8225726	8226027	chr1:8225726-8226027	enh
240905_HPC_screen_guide_328	chr1	8225726	8226027	chr1:8225726-8226027	enh
240905_HPC_screen_guide_329	chr1	8225726	8226027	chr1:8225726-8226027	enh
240905_HPC_screen_guide_330	chr1	8225726	8226027	chr1:8225726-8226027	enh
240905_HPC_screen_guide_331	chr1	8225726	8226027	chr1:8225726-8226027	enh
240905_HPC_screen_guide_332	chr1	8227180	8227481	chr1:8227180-8227481	enh
