grna_target	response_id
240905_HPC_screen_guide_98	chr1:8042369-8042670
240905_HPC_screen_guide_99	chr1:8042369-8042670
240905_HPC_screen_guide_100	chr1:8042369-8042670
240905_HPC_screen_guide_101	chr1:8042369-8042670
240905_HPC_screen_guide_102	chr1:8042369-8042670
240905_HPC_screen_guide_103	chr1:8042369-8042670
240905_HPC_screen_guide_104	chr1:8042369-8042670
240905_HPC_screen_guide_105	chr1:8042369-8042670
240905_HPC_screen_guide_106	chr1:8046017-8046318
240905_HPC_screen_guide_107	chr1:8046017-8046318
240905_HPC_screen_guide_108	chr1:8046017-8046318
240905_HPC_screen_guide_109	chr1:8046017-8046318
240905_HPC_screen_guide_110	chr1:8046017-8046318
240905_HPC_screen_guide_111	chr1:8046017-8046318
240905_HPC_screen_guide_112	chr1:8046017-8046318
240905_HPC_screen_guide_113	chr1:8046017-8046318
240905_HPC_screen_guide_114	chr1:8046017-8046318
240905_HPC_screen_guide_115	chr1:8046017-8046318
240905_HPC_screen_guide_116	chr1:8046017-8046318
240905_HPC_screen_guide_117	chr1:8046017-8046318
240905_HPC_screen_guide_118	chr1:8046017-8046318
240905_HPC_screen_guide_119	chr1:8046017-8046318
240905_HPC_screen_guide_120	chr1:8046017-8046318
240905_HPC_screen_guide_121	chr1:8051858-8052159
240905_HPC_screen_guide_122	chr1:8051858-8052159
240905_HPC_screen_guide_123	chr1:8051858-8052159
240905_HPC_screen_guide_124	chr1:8051856-8052157
240905_HPC_screen_guide_125	chr1:8051858-8052159
240905_HPC_screen_guide_126	chr1:8051856-8052157
240905_HPC_screen_guide_127	chr1:8051858-8052159
240905_HPC_screen_guide_128	chr1:8051856-8052157
240905_HPC_screen_guide_129	chr1:8051856-8052157
240905_HPC_screen_guide_130	chr1:8051856-8052157
240905_HPC_screen_guide_131	chr1:8051856-8052157
240905_HPC_screen_guide_132	chr1:8051858-8052159
240905_HPC_screen_guide_133	chr1:8051856-8052157
240905_HPC_screen_guide_134	chr1:8051856-8052157
240905_HPC_screen_guide_135	chr1:8051856-8052157
240905_HPC_screen_guide_136	chr1:8064721-8065022
240905_HPC_screen_guide_137	chr1:8064721-8065022
240905_HPC_screen_guide_138	chr1:8064721-8065022
240905_HPC_screen_guide_139	chr1:8064721-8065022
240905_HPC_screen_guide_140	chr1:8064721-8065022
240905_HPC_screen_guide_141	chr1:8064721-8065022
240905_HPC_screen_guide_142	chr1:8064721-8065022
240905_HPC_screen_guide_143	chr1:8064721-8065022
240905_HPC_screen_guide_144	chr1:8064721-8065022
240905_HPC_screen_guide_145	chr1:8064721-8065022
240905_HPC_screen_guide_146	chr1:8064721-8065022
240905_HPC_screen_guide_147	chr1:8064721-8065022
240905_HPC_screen_guide_148	chr1:8064721-8065022
240905_HPC_screen_guide_149	chr1:8064721-8065022
240905_HPC_screen_guide_150	chr1:8064721-8065022
240905_HPC_screen_guide_151	chr1:8065257-8065558
240905_HPC_screen_guide_152	chr1:8065257-8065558
240905_HPC_screen_guide_153	chr1:8065257-8065558
240905_HPC_screen_guide_154	chr1:8065257-8065558
240905_HPC_screen_guide_155	chr1:8065257-8065558
240905_HPC_screen_guide_156	chr1:8065257-8065558
240905_HPC_screen_guide_157	chr1:8065257-8065558
240905_HPC_screen_guide_158	chr1:8065257-8065558
240905_HPC_screen_guide_159	chr1:8065257-8065558
240905_HPC_screen_guide_160	chr1:8065257-8065558
240905_HPC_screen_guide_161	chr1:8065257-8065558
240905_HPC_screen_guide_162	chr1:8065257-8065558
240905_HPC_screen_guide_163	chr1:8065257-8065558
240905_HPC_screen_guide_164	chr1:8065257-8065558
240905_HPC_screen_guide_165	chr1:8065257-8065558
240905_HPC_screen_guide_166	chr1:8078851-8079152
240905_HPC_screen_guide_167	chr1:8078851-8079152
240905_HPC_screen_guide_168	chr1:8078851-8079152
240905_HPC_screen_guide_169	chr1:8078851-8079152
240905_HPC_screen_guide_170	chr1:8078851-8079152
240905_HPC_screen_guide_171	chr1:8078851-8079152
240905_HPC_screen_guide_172	chr1:8078851-8079152
240905_HPC_screen_guide_173	chr1:8078851-8079152
240905_HPC_screen_guide_174	chr1:8078851-8079152
240905_HPC_screen_guide_175	chr1:8078851-8079152
240905_HPC_screen_guide_176	chr1:8078851-8079152
240905_HPC_screen_guide_177	chr1:8078851-8079152
240905_HPC_screen_guide_178	chr1:8078851-8079152
240905_HPC_screen_guide_179	chr1:8078851-8079152
240905_HPC_screen_guide_180	chr1:8078851-8079152
240905_HPC_screen_guide_181	chr1:8082919-8083220
240905_HPC_screen_guide_182	chr1:8082919-8083220
240905_HPC_screen_guide_183	chr1:8082919-8083220
240905_HPC_screen_guide_184	chr1:8082919-8083220
240905_HPC_screen_guide_185	chr1:8082919-8083220
240905_HPC_screen_guide_186	chr1:8082919-8083220
240905_HPC_screen_guide_187	chr1:8082919-8083220
240905_HPC_screen_guide_188	chr1:8082919-8083220
240905_HPC_screen_guide_189	chr1:8082919-8083220
240905_HPC_screen_guide_190	chr1:8082919-8083220
240905_HPC_screen_guide_191	chr1:8082919-8083220
240905_HPC_screen_guide_192	chr1:8082919-8083220
240905_HPC_screen_guide_193	chr1:8082919-8083220
240905_HPC_screen_guide_194	chr1:8082919-8083220
240905_HPC_screen_guide_195	ERRFI1_TSS
240905_HPC_screen_guide_196	ERRFI1_TSS
240905_HPC_screen_guide_197	ERRFI1_TSS
240905_HPC_screen_guide_198	ERRFI1_TSS
240905_HPC_screen_guide_199	ERRFI1_TSS
240905_HPC_screen_guide_200	ERRFI1_TSS
240905_HPC_screen_guide_201	ERRFI1_TSS
240905_HPC_screen_guide_202	ERRFI1_TSS
240905_HPC_screen_guide_203	ERRFI1_TSS
240905_HPC_screen_guide_204	ERRFI1_TSS
240905_HPC_screen_guide_205	ERRFI1_TSS
240905_HPC_screen_guide_206	ERRFI1_TSS
240905_HPC_screen_guide_207	ERRFI1_TSS
240905_HPC_screen_guide_208	ERRFI1_TSS
240905_HPC_screen_guide_209	ERRFI1_TSS
240905_HPC_screen_guide_210	chr1:8121338-8121639
240905_HPC_screen_guide_211	chr1:8121338-8121639
240905_HPC_screen_guide_212	chr1:8121338-8121639
240905_HPC_screen_guide_213	chr1:8121338-8121639
240905_HPC_screen_guide_214	chr1:8121338-8121639
240905_HPC_screen_guide_215	chr1:8121338-8121639
240905_HPC_screen_guide_216	chr1:8121338-8121639
240905_HPC_screen_guide_217	chr1:8121338-8121639
240905_HPC_screen_guide_218	chr1:8121338-8121639
240905_HPC_screen_guide_219	chr1:8121338-8121639
240905_HPC_screen_guide_220	chr1:8121338-8121639
240905_HPC_screen_guide_221	chr1:8121342-8121643
240905_HPC_screen_guide_222	chr1:8121338-8121639
240905_HPC_screen_guide_223	chr1:8121338-8121639
240905_HPC_screen_guide_224	chr1:8121342-8121643
240905_HPC_screen_guide_225	chr1:8130379-8130680
240905_HPC_screen_guide_226	chr1:8130379-8130680
240905_HPC_screen_guide_227	chr1:8130379-8130680
240905_HPC_screen_guide_228	chr1:8130379-8130680
240905_HPC_screen_guide_229	chr1:8130379-8130680
240905_HPC_screen_guide_230	chr1:8130379-8130680
240905_HPC_screen_guide_231	chr1:8130379-8130680
240905_HPC_screen_guide_232	chr1:8130379-8130680
240905_HPC_screen_guide_233	chr1:8130379-8130680
240905_HPC_screen_guide_234	chr1:8130379-8130680
240905_HPC_screen_guide_235	chr1:8130379-8130680
240905_HPC_screen_guide_236	chr1:8130379-8130680
240905_HPC_screen_guide_237	chr1:8130379-8130680
240905_HPC_screen_guide_238	chr1:8130379-8130680
240905_HPC_screen_guide_239	chr1:8136262-8136563
240905_HPC_screen_guide_240	chr1:8136262-8136563
240905_HPC_screen_guide_241	chr1:8136262-8136563
240905_HPC_screen_guide_242	chr1:8136262-8136563
240905_HPC_screen_guide_243	chr1:8136262-8136563
240905_HPC_screen_guide_244	chr1:8136262-8136563
240905_HPC_screen_guide_245	chr1:8136262-8136563
240905_HPC_screen_guide_246	chr1:8136262-8136563
240905_HPC_screen_guide_247	chr1:8136262-8136563
240905_HPC_screen_guide_248	chr1:8136262-8136563
240905_HPC_screen_guide_249	chr1:8136262-8136563
240905_HPC_screen_guide_250	chr1:8136262-8136563
240905_HPC_screen_guide_251	chr1:8136262-8136563
240905_HPC_screen_guide_252	chr1:8136262-8136563
240905_HPC_screen_guide_253	chr1:8137300-8137601
240905_HPC_screen_guide_254	chr1:8137300-8137601
240905_HPC_screen_guide_255	chr1:8137300-8137601
240905_HPC_screen_guide_256	chr1:8137300-8137601
240905_HPC_screen_guide_257	chr1:8137300-8137601
240905_HPC_screen_guide_258	chr1:8137300-8137601
240905_HPC_screen_guide_259	chr1:8137300-8137601
240905_HPC_screen_guide_260	chr1:8137300-8137601
240905_HPC_screen_guide_261	chr1:8137300-8137601
240905_HPC_screen_guide_262	chr1:8137300-8137601
240905_HPC_screen_guide_263	chr1:8137300-8137601
240905_HPC_screen_guide_264	chr1:8137300-8137601
240905_HPC_screen_guide_265	chr1:8137300-8137601
240905_HPC_screen_guide_266	chr1:8137300-8137601
240905_HPC_screen_guide_267	chr1:8137312-8137613
240905_HPC_screen_guide_268	chr1:8138480-8138781
240905_HPC_screen_guide_269	chr1:8138480-8138781
240905_HPC_screen_guide_270	chr1:8138480-8138781
240905_HPC_screen_guide_271	chr1:8138480-8138781
240905_HPC_screen_guide_272	chr1:8138480-8138781
240905_HPC_screen_guide_273	chr1:8138480-8138781
240905_HPC_screen_guide_274	chr1:8138480-8138781
240905_HPC_screen_guide_275	chr1:8138480-8138781
240905_HPC_screen_guide_276	chr1:8138541-8138842
240905_HPC_screen_guide_277	chr1:8138480-8138781
240905_HPC_screen_guide_278	chr1:8138480-8138781
240905_HPC_screen_guide_279	chr1:8138541-8138842
240905_HPC_screen_guide_280	chr1:8138541-8138842
240905_HPC_screen_guide_281	chr1:8138541-8138842
240905_HPC_screen_guide_282	chr1:8138541-8138842
240905_HPC_screen_guide_283	chr1:8138541-8138842
240905_HPC_screen_guide_284	chr1:8144184-8144485
240905_HPC_screen_guide_285	chr1:8144243-8144544
240905_HPC_screen_guide_286	chr1:8144184-8144485
240905_HPC_screen_guide_287	chr1:8144243-8144544
240905_HPC_screen_guide_288	chr1:8144243-8144544
240905_HPC_screen_guide_289	chr1:8144243-8144544
240905_HPC_screen_guide_290	chr1:8144243-8144544
240905_HPC_screen_guide_291	chr1:8144243-8144544
240905_HPC_screen_guide_292	chr1:8144243-8144544
240905_HPC_screen_guide_293	chr1:8144184-8144485
240905_HPC_screen_guide_294	chr1:8144243-8144544
240905_HPC_screen_guide_295	chr1:8144184-8144485
240905_HPC_screen_guide_296	chr1:8144184-8144485
240905_HPC_screen_guide_297	chr1:8144184-8144485
240905_HPC_screen_guide_298	chr1:8144184-8144485
240905_HPC_screen_guide_299	chr1:8144243-8144544
240905_HPC_screen_guide_300	chr1:8177642-8177943
240905_HPC_screen_guide_301	chr1:8177642-8177943
240905_HPC_screen_guide_302	chr1:8177642-8177943
240905_HPC_screen_guide_303	chr1:8177642-8177943
240905_HPC_screen_guide_304	chr1:8177642-8177943
240905_HPC_screen_guide_305	chr1:8177642-8177943
240905_HPC_screen_guide_306	chr1:8177642-8177943
240905_HPC_screen_guide_307	chr1:8177642-8177943
240905_HPC_screen_guide_308	chr1:8177642-8177943
240905_HPC_screen_guide_309	chr1:8177642-8177943
240905_HPC_screen_guide_310	chr1:8177642-8177943
240905_HPC_screen_guide_311	chr1:8177642-8177943
240905_HPC_screen_guide_312	chr1:8215671-8215972
240905_HPC_screen_guide_313	chr1:8215667-8215968
240905_HPC_screen_guide_314	chr1:8215671-8215972
240905_HPC_screen_guide_315	chr1:8215671-8215972
240905_HPC_screen_guide_316	chr1:8215671-8215972
240905_HPC_screen_guide_317	chr1:8215671-8215972
240905_HPC_screen_guide_318	chr1:8215671-8215972
240905_HPC_screen_guide_319	chr1:8215671-8215972
240905_HPC_screen_guide_320	chr1:8215671-8215972
240905_HPC_screen_guide_321	chr1:8215671-8215972
240905_HPC_screen_guide_322	chr1:8215667-8215968
240905_HPC_screen_guide_323	chr1:8215667-8215968
240905_HPC_screen_guide_324	chr1:8215667-8215968
240905_HPC_screen_guide_325	chr1:8215667-8215968
240905_HPC_screen_guide_326	chr1:8215667-8215968
240905_HPC_screen_guide_327	chr1:8225726-8226027
240905_HPC_screen_guide_328	chr1:8225726-8226027
240905_HPC_screen_guide_329	chr1:8225726-8226027
240905_HPC_screen_guide_330	chr1:8225726-8226027
240905_HPC_screen_guide_331	chr1:8225726-8226027
240905_HPC_screen_guide_332	chr1:8227180-8227481
240905_HPC_screen_guide_333	chr1:8227180-8227481
240905_HPC_screen_guide_334	chr1:8227180-8227481
240905_HPC_screen_guide_335	chr1:8227185-8227486
240905_HPC_screen_guide_336	chr1:8227180-8227481
240905_HPC_screen_guide_337	chr1:8227180-8227481
240905_HPC_screen_guide_338	chr1:8227180-8227481
240905_HPC_screen_guide_339	chr1:8227180-8227481
240905_HPC_screen_guide_340	chr1:8227180-8227481
240905_HPC_screen_guide_341	chr1:8227180-8227481
240905_HPC_screen_guide_342	chr1:8227180-8227481
240905_HPC_screen_guide_343	chr1:8227185-8227486
240905_HPC_screen_guide_344	chr1:8227180-8227481
240905_HPC_screen_guide_345	chr1:8227180-8227481
240905_HPC_screen_guide_346	chr1:8227180-8227481
240905_HPC_screen_guide_347	chr1:8227298-8227599
240905_HPC_screen_guide_348	chr1:8227298-8227599
240905_HPC_screen_guide_349	chr1:8227790-8228091
240905_HPC_screen_guide_350	chr1:8227790-8228091
240905_HPC_screen_guide_351	chr1:8227790-8228091
240905_HPC_screen_guide_352	chr1:8227790-8228091
240905_HPC_screen_guide_353	chr1:8227790-8228091
240905_HPC_screen_guide_354	chr1:8227790-8228091
240905_HPC_screen_guide_355	chr1:8227790-8228091
240905_HPC_screen_guide_356	chr1:8227790-8228091
240905_HPC_screen_guide_357	chr1:8227790-8228091
240905_HPC_screen_guide_358	chr1:8227790-8228091
240905_HPC_screen_guide_359	chr1:8227790-8228091
240905_HPC_screen_guide_360	chr1:8227790-8228091
240905_HPC_screen_guide_361	chr1:8227790-8228091
240905_HPC_screen_guide_362	chr1:8227790-8228091
240905_HPC_screen_guide_363	chr1:8229839-8230140
240905_HPC_screen_guide_364	chr1:8229839-8230140
240905_HPC_screen_guide_365	chr1:8229839-8230140
240905_HPC_screen_guide_366	chr1:8229839-8230140
240905_HPC_screen_guide_367	chr1:8229850-8230151
240905_HPC_screen_guide_368	chr1:8229839-8230140
240905_HPC_screen_guide_369	chr1:8229839-8230140
240905_HPC_screen_guide_370	chr1:8274878-8275179
240905_HPC_screen_guide_371	chr1:8274878-8275179
240905_HPC_screen_guide_372	chr1:8274878-8275179
240905_HPC_screen_guide_373	chr1:8274878-8275179
240905_HPC_screen_guide_374	chr1:8274878-8275179
240905_HPC_screen_guide_375	chr1:8274878-8275179
240905_HPC_screen_guide_376	chr1:8274878-8275179
240905_HPC_screen_guide_377	chr1:8274878-8275179
240905_HPC_screen_guide_378	chr1:8274878-8275179
240905_HPC_screen_guide_379	chr1:8274878-8275179
240905_HPC_screen_guide_380	chr1:8274878-8275179
240905_HPC_screen_guide_381	chr1:8274878-8275179
240905_HPC_screen_guide_382	chr1:8274878-8275179
240905_HPC_screen_guide_383	chr1:8274878-8275179
240905_HPC_screen_guide_384	chr1:8274878-8275179
240905_HPC_screen_guide_385	chr1:8277211-8277512
240905_HPC_screen_guide_386	chr1:8277213-8277514
240905_HPC_screen_guide_387	chr1:8277220-8277521
240905_HPC_screen_guide_388	chr1:8277220-8277521
240905_HPC_screen_guide_389	chr1:8277213-8277514
240905_HPC_screen_guide_390	chr1:8277213-8277514
240905_HPC_screen_guide_391	chr1:8277213-8277514
240905_HPC_screen_guide_392	chr1:8277211-8277512
240905_HPC_screen_guide_393	chr1:8277211-8277512
240905_HPC_screen_guide_394	chr1:8277211-8277512
240905_HPC_screen_guide_395	chr1:8277211-8277512
240905_HPC_screen_guide_396	chr1:8277213-8277514
240905_HPC_screen_guide_397	chr1:8277211-8277512
240905_HPC_screen_guide_398	chr1:8277213-8277514
240905_HPC_screen_guide_399	chr1:8277211-8277512
240905_HPC_screen_guide_400	chr1:8299756-8300057
240905_HPC_screen_guide_401	chr1:8299775-8300076
240905_HPC_screen_guide_402	chr1:8299756-8300057
240905_HPC_screen_guide_403	chr1:8299775-8300076
240905_HPC_screen_guide_404	chr1:8299756-8300057
240905_HPC_screen_guide_405	chr1:8299756-8300057
240905_HPC_screen_guide_406	chr1:8299756-8300057
240905_HPC_screen_guide_407	chr1:8299756-8300057
240905_HPC_screen_guide_408	chr1:8299775-8300076
240905_HPC_screen_guide_409	chr1:8299756-8300057
240905_HPC_screen_guide_410	chr1:8299772-8300073
240905_HPC_screen_guide_411	chr1:8299756-8300057
240905_HPC_screen_guide_412	chr1:8299775-8300076
240905_HPC_screen_guide_413	chr1:8299756-8300057
240905_HPC_screen_guide_414	chr1:8299772-8300073
240905_HPC_screen_guide_415	chr1:8326461-8326762
240905_HPC_screen_guide_416	chr1:8326461-8326762
240905_HPC_screen_guide_417	chr1:8326461-8326762
240905_HPC_screen_guide_418	chr1:8326461-8326762
240905_HPC_screen_guide_419	chr1:8326461-8326762
240905_HPC_screen_guide_420	chr1:8326461-8326762
240905_HPC_screen_guide_421	chr1:8326461-8326762
240905_HPC_screen_guide_422	chr1:8336587-8336888
240905_HPC_screen_guide_423	chr1:8336587-8336888
240905_HPC_screen_guide_424	chr1:8336587-8336888
240905_HPC_screen_guide_425	chr1:8336587-8336888
240905_HPC_screen_guide_426	chr1:8336587-8336888
240905_HPC_screen_guide_427	chr1:8336587-8336888
240905_HPC_screen_guide_428	chr1:8336587-8336888
240905_HPC_screen_guide_429	chr1:8336587-8336888
240905_HPC_screen_guide_430	chr1:8336587-8336888
240905_HPC_screen_guide_431	chr1:8336587-8336888
240905_HPC_screen_guide_432	chr1:8336587-8336888
240905_HPC_screen_guide_433	chr1:8336587-8336888
240905_HPC_screen_guide_434	chr1:8336587-8336888
240905_HPC_screen_guide_435	chr1:8336587-8336888
240905_HPC_screen_guide_436	chr1:8336587-8336888
240905_HPC_screen_guide_437	chr1:8342246-8342547
240905_HPC_screen_guide_438	chr1:8342246-8342547
240905_HPC_screen_guide_439	chr1:8342246-8342547
240905_HPC_screen_guide_440	chr1:8342246-8342547
240905_HPC_screen_guide_441	chr1:8342246-8342547
240905_HPC_screen_guide_442	chr1:8342246-8342547
240905_HPC_screen_guide_443	chr1:8342246-8342547
240905_HPC_screen_guide_444	chr1:8342246-8342547
240905_HPC_screen_guide_445	chr1:8342246-8342547
240905_HPC_screen_guide_446	chr1:8342246-8342547
240905_HPC_screen_guide_447	chr1:8342246-8342547
240905_HPC_screen_guide_448	chr1:8342246-8342547
240905_HPC_screen_guide_449	chr1:8342246-8342547
240905_HPC_screen_guide_450	chr1:8342246-8342547
240905_HPC_screen_guide_451	chr1:8342246-8342547
240905_HPC_screen_guide_452	chr1:8357309-8357610
240905_HPC_screen_guide_453	chr1:8357309-8357610
240905_HPC_screen_guide_454	chr1:8357309-8357610
240905_HPC_screen_guide_455	chr1:8357309-8357610
240905_HPC_screen_guide_456	chr1:8357309-8357610
240905_HPC_screen_guide_457	chr1:8357309-8357610
240905_HPC_screen_guide_458	chr1:8357309-8357610
240905_HPC_screen_guide_459	chr1:8357309-8357610
240905_HPC_screen_guide_460	chr1:8357309-8357610
240905_HPC_screen_guide_461	chr1:8357309-8357610
240905_HPC_screen_guide_462	chr1:8357309-8357610
240905_HPC_screen_guide_463	chr1:8357309-8357610
240905_HPC_screen_guide_464	chr1:8357309-8357610
240905_HPC_screen_guide_465	chr1:8357309-8357610
240905_HPC_screen_guide_466	chr1:8357309-8357610
240905_HPC_screen_guide_467	chr1:8371852-8372153
240905_HPC_screen_guide_468	chr1:8371852-8372153
240905_HPC_screen_guide_469	chr1:8371852-8372153
240905_HPC_screen_guide_470	chr1:8371852-8372153
240905_HPC_screen_guide_471	chr1:8371852-8372153
240905_HPC_screen_guide_472	chr1:8371852-8372153
240905_HPC_screen_guide_473	chr1:8371852-8372153
240905_HPC_screen_guide_474	chr1:8371852-8372153
240905_HPC_screen_guide_475	chr1:8371852-8372153
240905_HPC_screen_guide_476	chr1:8371852-8372153
240905_HPC_screen_guide_477	chr1:8371852-8372153
240905_HPC_screen_guide_478	chr1:8371852-8372153
240905_HPC_screen_guide_479	chr1:8372311-8372612
240905_HPC_screen_guide_480	chr1:8372311-8372612
240905_HPC_screen_guide_481	chr1:8372311-8372612
240905_HPC_screen_guide_482	chr1:8372311-8372612
240905_HPC_screen_guide_483	chr1:8372311-8372612
240905_HPC_screen_guide_484	chr1:8372322-8372623
240905_HPC_screen_guide_485	chr1:8372311-8372612
240905_HPC_screen_guide_486	chr1:8372311-8372612
240905_HPC_screen_guide_487	chr1:8372311-8372612
240905_HPC_screen_guide_488	chr1:8372311-8372612
240905_HPC_screen_guide_489	chr1:8372311-8372612
240905_HPC_screen_guide_490	chr1:8372311-8372612
240905_HPC_screen_guide_491	chr1:8372311-8372612
240905_HPC_screen_guide_492	chr1:8372311-8372612
240905_HPC_screen_guide_493	chr1:8372311-8372612
240905_HPC_screen_guide_494	chr1:8374414-8374715
240905_HPC_screen_guide_495	chr1:8374414-8374715
240905_HPC_screen_guide_496	chr1:8374414-8374715
240905_HPC_screen_guide_497	chr1:8374418-8374719
240905_HPC_screen_guide_498	chr1:8374418-8374719
240905_HPC_screen_guide_499	chr1:8374414-8374715
240905_HPC_screen_guide_500	chr1:8374418-8374719
240905_HPC_screen_guide_501	chr1:8374418-8374719
240905_HPC_screen_guide_502	chr1:8374418-8374719
240905_HPC_screen_guide_503	chr1:8374414-8374715
240905_HPC_screen_guide_504	chr1:8374414-8374715
240905_HPC_screen_guide_505	chr1:8374414-8374715
240905_HPC_screen_guide_506	chr1:8374414-8374715
240905_HPC_screen_guide_507	chr1:8374414-8374715
240905_HPC_screen_guide_508	chr1:8374414-8374715
240905_HPC_screen_guide_509	chr1:8375907-8376208
240905_HPC_screen_guide_510	chr1:8375907-8376208
240905_HPC_screen_guide_511	chr1:8375907-8376208
240905_HPC_screen_guide_512	chr1:8375907-8376208
240905_HPC_screen_guide_513	chr1:8375907-8376208
240905_HPC_screen_guide_514	chr1:8375907-8376208
240905_HPC_screen_guide_515	chr1:8375907-8376208
240905_HPC_screen_guide_516	chr1:8375907-8376208
240905_HPC_screen_guide_517	chr1:8375907-8376208
240905_HPC_screen_guide_518	chr1:8375907-8376208
240905_HPC_screen_guide_519	chr1:8375909-8376210
240905_HPC_screen_guide_520	chr1:8375907-8376208
